sid,name,slug,sector,ticker,marketCap,price,change,turnover
MFS,MFS Intercorp Ltd,/stocks/mfs-intercorp-MFS,Iron & Steel,MFSINTRCRP,Smallcap,13.5,,37647.66016
KIN,Kinetic Trust Ltd,/stocks/kinetic-trust-KIN,Investment Banking & Brokerage,KINETRU,Smallcap,30.32999992,4.980000019,37572.80859
KEE,Keerthi Industries Ltd,/stocks/keerthi-industries-KEE,Cement,KEERTHI,Smallcap,39.99000168,2.539999962,37510.62109
ARCL,ARCL Organics Ltd,/stocks/arcl-organics-ARCL,Specialty Chemicals,ARCL,Smallcap,184,1.629999995,37494.10156
PIOT,Piotex Industries Ltd,/stocks/piotex-industries-PIOT,Textiles,PIOTEX,Smallcap,31,6.900000095,37200
YAR,Yarn Syndicate Ltd,/stocks/yarn-syndicate-YAR,Textiles,YARNSYN,Smallcap,15.10999966,-2.329999924,37194.39844
SALO,Salona Cotspin Ltd,/stocks/salona-cotspin-SALO,Textiles,SALONA,Smallcap,250.6499939,-0.180000007,37153.92188
SAVF,Mantra Capital Ltd,/stocks/savani-financials-SAVF,Specialized Finance,MANTRA,Smallcap,16,-4.820000172,37101.87109
ASIT,Asit C Mehta Financial Services Ltd,/stocks/asit-c-mehta-financial-services-ASIT,Diversified Financials,ASITCFIN,Smallcap,117.0500031,-3.700000048,36949.87891
ARISE,Arihant's Securities Ltd,/stocks/arihants-securities-ARISE,Diversified Financials,ARISE,Smallcap,19.64999962,7.03000021,36935.32031
SHIVR,Shivagrico Implements Ltd,/stocks/shivagrico-implements-SHIVR,Agricultural & Farm Machinery,SHIVAGR,Smallcap,22.48999977,-2.220000029,36856.19141
KAB,Kabsons Industries Ltd,/stocks/kabsons-industries-KAB,Gas Distribution,KABSON,Smallcap,21.19000053,-4.980000019,36834.10156
PHOEN,Phoenix International Ltd,/stocks/phoenix-international-PHOEN,Footwear,PHOENXINTL,Smallcap,29.39999962,3.519999981,36829.80078
SAPP,Shree Ajit Pulp and Paper Ltd,/stocks/shree-ajit-pulp-and-paper-SAPP,Paper Products,SAPPL,Smallcap,278.7000122,0.699999988,36785.76172
CONA,Conart Engineers Ltd,/stocks/conart-engineers-CONA,Construction & Engineering,CONART,Smallcap,95,1.350000024,36773.55078
ZENI,Zenith Healthcare Ltd,/stocks/zenith-health-care-ZENI,Pharmaceuticals,ZENITHHE,Smallcap,3.089999914,0.649999976,36588.26172
INC,Incon Engineers Ltd,/stocks/incon-engineers-INC,Industrial Machinery,INCON,Smallcap,27.93000031,5,36504.51172
NEXM,Next Mediaworks Ltd,/stocks/next-mediaworks-NEXM,Radio,NEXTMEDIA,Smallcap,4.03000021,2.029999971,36324.96094
ZDH,Dhanvantri Jeevan Rekha Ltd,/stocks/dhanvantri-jeevan-rekha-ZDH,Hospitals & Diagnostic Centres,ZDHJERK,Smallcap,26.45000076,-3.5,36265.67969
TRAB,Transgene Biotek Ltd,/stocks/transgene-biotek-TRAB,Biotechnology,TRABI,Smallcap,2.960000038,-2.630000114,36143.12109
ESIL,Eastern Silk Industries Ltd,/stocks/eastern-silk-industries-ESIL,Textiles,EASTSILK,Smallcap,49,-1.169999957,36117.89844
COLI,Colinz Laboratories Ltd,/stocks/colinz-laboratories-COLI,Pharmaceuticals,COLINZ,Smallcap,77.55000305,-5,36060.75
GRO,Grovy India Ltd,/stocks/grovy-india-GRO,Real Estate,GROVY,Smallcap,50.99000168,3.25999999,35884.17188
NAL,Nalin Lease Finance Ltd,/stocks/nalin-lease-finance-NAL,Consumer Finance,NLFL,Smallcap,37.45000076,-6.119999886,35523.83984
RUBR,Checkpoint Trends Ltd,/stocks/rubra-medicaments-RUBR,Business Support Services,CENTUPLE,Smallcap,38.58000183,1.019999981,35490.55859
GTN,GTN Industries Ltd,/stocks/gtn-industries-GTN,Textiles,GTNINDS,Smallcap,21.20999908,-1.120000005,35304.05859
KEMP,Kemp and Company Ltd,/stocks/kemp-and-co-KEMP,Retail - Speciality,KEMP,Smallcap,1138.099976,-5,35282.96094
ZVI,Flomic Global Logistics Ltd,/stocks/vinaditya-trading-company-ZVI,Logistics,FLOMIC,Smallcap,51,-1.870000005,35171.21875
PARK,Parker Agro Chem Exports Ltd,/stocks/parker-agrochem-exports-PARK,Oil & Gas - Storage & Transportation,PARKERAC,Smallcap,14.68999958,4.929999828,35106.5
