Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=12,GET,MoneyControl,marketIntelService.ts:50,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=6
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=6,GET,MoneyControl,explore_mc_tl.py:518,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=6
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=8&limit=24,GET,MoneyControl,explore_mc_tl.py:520,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=6
https://api.moneycontrol.com/mcapi/v1/premarket/getFllActivityData?type=cash,GET,MoneyControl,"explore_mc_tl.py:512, marketIntelService.ts:32",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getFllActivityData?type=cash
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=6,GET,MoneyControl,explore_mc_tl.py:516,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=6
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=8,GET,MoneyControl,marketIntelService.ts:44,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=6
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketViewsData?cat=all&start=0&limit=9,GET,MoneyControl,"explore_mc_tl.py:510, marketIntelService.ts:26",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getMarketViewsData?cat=all&start=0&limit=9
https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=3&sortby=rank&sortorder=asc,GET,MoneyControl,explore_mc_tl.py:514,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=3&sortby=rank&sortorder=asc
https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=6&sortby=rank&sortorder=asc,GET,MoneyControl,marketIntelService.ts:38,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=3&sortby=rank&sortorder=asc
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId=${scId}&ex=N,GET,MoneyControl,"insightService.ts:140, mcApiService.ts:515",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId=BE03&ex=N
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={mcsymbol}&ex=N,GET,MoneyControl,moneycontrol_fetcher.py:358,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId=BE03&ex=N
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={sc_id}&ex=N,GET,MoneyControl,explore_mc_tl.py:405,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId=BE03&ex=N
https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId=${scId}&ex=N&deviceType=W,GET,MoneyControl,mcApiService.ts:545,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId=BE03&ex=N&deviceType=W
https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId={sc_id}&ex=N&deviceType=W,GET,MoneyControl,explore_mc_tl.py:403,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId=BE03&ex=N&deviceType=W
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=${scId}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,"insightService.ts:141, mcApiService.ts:525",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=BE03&ex=N&deviceType=W&frequency=12&financialType=C
