Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={mcsymbol}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,moneycontrol_fetcher.py:360,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=BE03&ex=N&deviceType=W&frequency=12&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={scId}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,analyst_estimates_snapshot.py:37,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=BE03&ex=N&deviceType=W&frequency=12&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={sc_id}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,explore_mc_tl.py:407,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=BE03&ex=N&deviceType=W&frequency=12&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId=${scId}&ex=N&type=eps&financialType=C,GET,MoneyControl,"insightService.ts:143, mcApiService.ts:555",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId=BE03&ex=N&type=eps&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId={mcsymbol}&ex=N&type=eps&financialType=C,GET,MoneyControl,moneycontrol_fetcher.py:361,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId=BE03&ex=N&type=eps&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId={sc_id}&ex=N&type=eps&financialType=C,GET,MoneyControl,explore_mc_tl.py:411,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId=BE03&ex=N&type=eps&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId=${scId}&ex=N&deviceType=W,GET,MoneyControl,"insightService.ts:139, mcApiService.ts:535",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId=BE03&ex=N&deviceType=W
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={mcsymbol}&ex=N&deviceType=W,GET,MoneyControl,moneycontrol_fetcher.py:359,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId=BE03&ex=N&deviceType=W
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={sc_id}&ex=N&deviceType=W,GET,MoneyControl,explore_mc_tl.py:401,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId=BE03&ex=N&deviceType=W
https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId=${scId}&ex=N&financialType=C,GET,MoneyControl,"insightService.ts:144, mcApiService.ts:565",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId=BE03&ex=N&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId={sc_id}&ex=N&financialType=C,GET,MoneyControl,explore_mc_tl.py:409,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId=BE03&ex=N&financialType=C
https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId=${scId}&ex=N,GET,MoneyControl,mcApiService.ts:575,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId=BE03&ex=N
https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId={sc_id}&ex=N,GET,MoneyControl,explore_mc_tl.py:358,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId=BE03&ex=N
https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId=${scId}&ex=&appVersion=175,GET,MoneyControl,"insightService.ts:142, mcApiService.ts:503",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId=BE03&ex=&appVersion=175
https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId={sc_id}&ex=&appVersion=175,GET,MoneyControl,explore_mc_tl.py:356,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId=BE03&ex=&appVersion=175
https://api.moneycontrol.com/mcapi/v1/technical-trends/{tdir}/{ttype}?ex=N&index={idx}&page=1&order={order}&deviceType=W&sort={sort}&appVersion=142,GET,MoneyControl,explore_mc_tl.py:459,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/technical-trends/uptrend/bullish?ex=N&index=7&page=1&order=desc&deviceType=W&sort=performance&appVersion=142
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Futures&id={fid}&ExpiryDate=,GET,MoneyControl,explore_mc_tl.py:298,,,,urls_directory.csv,SUCCESS,https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Futures&id=BANKNIFTY&ExpiryDate=
https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Options&option_type={opt_type}&id={fid}&ExpiryDate=,GET,MoneyControl,explore_mc_tl.py:303,,,,urls_directory.csv,SUCCESS,https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=options&option_type=PE&id=NIFTY&ExpiryDate=
https://appfeeds.moneycontrol.com/jsonapi/fno/overview?format=json&inst_type=${instType}&id=${id}&ExpiryDate=,GET,MoneyControl,fnoService.ts:258,,,,urls_directory.csv,SUCCESS,https://appfeeds.moneycontrol.com/jsonapi/fno/overview&format=json&inst_type=Futures&id=BANKNIFTY&ExpiryDate=
https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id={ind_id}&range={rng}&type={gtype},GET,MoneyControl,explore_mc_tl.py:266,,,,urls_directory.csv,SUCCESS,https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id=38&range=1d&type=line
https://appfeeds.moneycontrol.com/jsonapi/market/indices&format=json&ind_id={ind_id},GET,MoneyControl,explore_mc_tl.py:248,,,,urls_directory.csv,SUCCESS,https:////appfeeds.moneycontrol.com//jsonapi//market//indices&format=json&ind_id=38
