Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,"insightService.ts:137, mcApiService.ts:463, moneycontrolService.ts:73",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=d&deviceType=W&appVersion=185,GET,MoneyControl,mcApiService.ts:491,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId={sc_id}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,explore_mc_tl.py:390,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
https://api.moneycontrol.com/mcapi/technicalpicks/chart-patterns?deviceType=W&version=174&start=0&limit=12&pattern_type=all&sc_id=${scId},GET,MoneyControl,mcApiService.ts:671,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicalpicks/chart-patterns?deviceType=W&version=174&start=0&limit=12&pattern_type=all&sc_id=IT
https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=${scId}&dur=${dur}&deviceType=W,GET,MoneyControl,mcApiService.ts:604,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=BE03&dur=D&deviceType=W
https://api.moneycontrol.com/mcapi/technicals/v2/details?scId={sc_id}&dur={dur}&deviceType=W,GET,MoneyControl,explore_mc_tl.py:366,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=BE03&dur=D&deviceType=W
https://api.moneycontrol.com/mcapi/v1/deals/get-stock-news,GET,MoneyControl,explore_mc_tl.py:472,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/get-stock-news
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=${limit}&value=value&range=1W&action=${action}&dealsType=${dealsType},GET,MoneyControl,marketIntelService.ts:128,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action={action},GET,MoneyControl,explore_mc_tl.py:477,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topDeal,GET,MoneyControl,explore_mc_tl.py:475,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInsider,GET,MoneyControl,explore_mc_tl.py:479,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInvestor,GET,MoneyControl,explore_mc_tl.py:481,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W,GET,MoneyControl,explore_mc_tl.py:470,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=6&orderBy=dealsValue&deviceType=W,GET,MoneyControl,marketIntelService.ts:134,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=${orderBy}&sortBy=DESC&dealType=${dealType}&deviceType=W&apiVersion=177,GET,MoneyControl,marketIntelService.ts:118,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,marketIntelService.ts:113,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:462,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,explore_mc_tl.py:468,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStock&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:464,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStockSectorWise&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:466,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=${limit},GET,MoneyControl,marketIntelService.ts:324,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6,GET,MoneyControl,explore_mc_tl.py:489,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=${d}&endDate=${d}&sector=&limit=${limit},GET,MoneyControl,marketIntelService.ts:301,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=2025-09-16&endDate=2025-09-16&sector=&limit=18
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate={today}&endDate={today}&sector=&limit=18,GET,MoneyControl,explore_mc_tl.py:497,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=2025-09-16&endDate=2025-09-16&sector=&limit=18
https://api.moneycontrol.com/mcapi/v1/earnings/inc-widget?indexId=all,GET,MoneyControl,explore_mc_tl.py:485,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/inc-widget?indexId=all
https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=${limit}&page=1,GET,MoneyControl,marketIntelService.ts:318,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=8&page=1
https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=8&page=1,GET,MoneyControl,explore_mc_tl.py:487,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=8&page=1
