URL,HTTP Method,Provider / Domain,Code Sources / References
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={scId}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,analyst_estimates_snapshot.py:37
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={sc_id}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,explore_mc_tl.py:407
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId=${scId}&ex=N&type=eps&financialType=C,GET,MoneyControl,"insightService.ts:143, mcApiService.ts:555"
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId={mcsymbol}&ex=N&type=eps&financialType=C,GET,MoneyControl,moneycontrol_fetcher.py:361
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId={sc_id}&ex=N&type=eps&financialType=C,GET,MoneyControl,explore_mc_tl.py:411
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId=${scId}&ex=N&deviceType=W,GET,MoneyControl,"insightService.ts:139, mcApiService.ts:535"
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={mcsymbol}&ex=N&deviceType=W,GET,MoneyControl,moneycontrol_fetcher.py:359
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={scId}&ex=N&deviceType=W,GET,MoneyControl,analyst_estimates_snapshot.py:36
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={sc_id}&ex=N&deviceType=W,GET,MoneyControl,explore_mc_tl.py:401
https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId=${scId}&ex=N&financialType=C,GET,MoneyControl,"insightService.ts:144, mcApiService.ts:565"
https://api.moneycontrol.com/mcapi/v1/stock/estimates/valuation?deviceType=W&scId={sc_id}&ex=N&financialType=C,GET,MoneyControl,explore_mc_tl.py:409
https://api.moneycontrol.com/mcapi/v1/stock/extdata/v2/mc-essentials?deviceType=W&scId={mcsymbol}&ex=N,GET,MoneyControl,moneycontrol_fetcher.py:356
https://api.moneycontrol.com/mcapi/v1/stock/extdata/v2/mc-insights?deviceType=W&scId={mcsymbol}&ex=N,GET,MoneyControl,moneycontrol_fetcher.py:357
https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId=${scId}&ex=N,GET,MoneyControl,mcApiService.ts:575
https://api.moneycontrol.com/mcapi/v1/stock/financial-historical/overview?scId={sc_id}&ex=N,GET,MoneyControl,explore_mc_tl.py:358
https://api.moneycontrol.com/mcapi/v1/stock/get-stock-price?scIdList=${scId}&scId=${scId},GET,MoneyControl,mcApiService.ts:585
https://api.moneycontrol.com/mcapi/v1/stock/get-stock-price?scIdList={sc_id}&scId={sc_id},GET,MoneyControl,explore_mc_tl.py:357
https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId=${scId}&ex=&appVersion=175,GET,MoneyControl,"insightService.ts:142, mcApiService.ts:503"
https://api.moneycontrol.com/mcapi/v1/stock/price-volume?scId={sc_id}&ex=&appVersion=175,GET,MoneyControl,explore_mc_tl.py:356
